species	larva	body.length
Dmel	61	6783
Dmel	62	6932
Dmel	63	6855
Dmel	64	6047
Dmel	65	6792
Dmel	66	6527
Dmel	67	6728
Dmel	68	6707
Dmel	69	6626
Dmel	70	6736
Dmel	71	6639
Dmel	72	6457
Dmel	73	6710
Dmel	74	6523
Dmel	75	6555
Dmel	76	6426
Dmel	77	6457
Dmel	78	6391
Dmel	79	6789
Dmel	80	6512
Dmel	81	6478
Dmel	82	6818
Dmel	83	6702
Dmel	84	6250
Dmel	85	6577
Dmel	86	6339
Dmel	87	6712
Dmel	88	6282
Dmel	89	6392
Dmel	90	6715
Dmel	91	6235
Dmel	92	6619
Dmel	93	6383
Dmel	94	6532
Dmel	95	6418
Dmel	96	6223
Dmel	97	6397
Dmel	98	6280
Dmel	99	6357
Dmel	100	6347
Dmel	101	6517
Dmel	102	6583
Dmel	103	6435
Dmel	104	6442
Dmel	105	6464
Dmel	106	6438
Dmel	107	6589
Dmel	108	6695
Dmel	109	6311
Dmel	110	6902
Dmel	111	6880
Dmel	112	6400
Dmel	113	6714
Dmel	114	6377
Dmel	115	6494
Dmel	116	6365
Dmel	117	6799
Dmel	118	6558
Dmel	119	6698
Dmel	120	6711
Dmel	121	6469
Dmel	122	6729
Dmel	123	6435
Dmel	124	6585
Dmel	125	6517
Dmel	126	6408
Dmel	127	6496
Dmel	128	6642
Dmel	129	6792
Dmel	130	6542
Dmel	131	6585
Dmel	132	6549
Dmel	133	6704
Dmel	134	6505
Dmel	135	6493
Dmel	136	6728
Dmel	137	6542
Dmel	138	6958
Dmel	139	6827
Dmel	140	7016
Dmel	141	6861
Dmel	142	6828
Dmel	143	6938
Dmel	144	6980
Dmel	145	6762
Dmoj	1	6041
Dmoj	2	6635
Dmoj	3	6311
Dmoj	4	6273
Dmoj	5	5651
Dmoj	6	5773
Dmoj	7	5961
Dmoj	8	6254
Dmoj	9	6123
Dmoj	10	6616
Dmoj	11	5844
Dmoj	12	6342
Dmoj	13	6181
Dmoj	14	6150
Dmoj	15	6099
Dmoj	16	6491
Dmoj	17	6529
Dmoj	18	6044
Dmoj	19	6309
Dmoj	20	5866
Dmoj	21	6208
Dmoj	22	5900
Dmoj	23	5737
Dmoj	24	6258
Dmoj	25	6407
Dmoj	26	6693
Dmoj	27	6028
Dmoj	28	5746
Dmoj	29	6040
Dmoj	30	6004
Dmoj	31	6275
Dmoj	32	5869
Dmoj	33	6115
Dmoj	34	5732
Dmoj	35	6153
Dmoj	36	6142
Dmoj	37	5820
Dmoj	38	5532
Dmoj	39	5816
Dmoj	40	5683
Dmoj	41	6063
Dmoj	42	6016
Dmoj	43	6269
Dmoj	44	6369
Dmoj	45	6232
Dmoj	46	6377
Dmoj	47	5820
Dmoj	48	5925
Dmoj	49	5916
Dmoj	50	6102
Dmoj	51	6279
Dmoj	52	6223
Dmoj	53	6325
Dmoj	54	5720
Dmoj	55	7086
Dmoj	56	6056
Dmoj	57	5564
Dmoj	58	6787
Dmoj	59	5879
Dmoj	60	6755
Dmoj	61	6341
Dmoj	62	6226
Dmoj	63	6163
Dmoj	64	6077
Dmoj	65	6008
Dmoj	66	6238
Dmoj	67	6400
Dmoj	68	6157
Dmoj	69	5767
Dmoj	70	5700
Dmoj	71	6276
Dmoj	72	5849
Dmoj	73	5964
Dmoj	74	5556
Dmoj	75	5152
Dmoj	76	5614
Dmoj	77	6197
Dmoj	78	6568
Dmoj	79	6381
Dmoj	80	6112
Dmoj	81	6429
Dmoj	82	6226
Dmoj	83	5916
Dmoj	84	5957
Dmoj	85	6497
Dmoj	86	6258
Dmoj	87	6610
Dmoj	88	6239
Dmoj	89	6167
Dmoj	90	5799
Dmoj	91	5551
Dmoj	92	6779
Dmoj	93	6831
Dmoj	94	6367
Dmoj	95	6326
Dmoj	96	5730
Dmoj	97	6023
Dmoj	98	5982
Dmoj	99	5617
Dmoj	100	6202
Dmoj	101	6223
Dmoj	102	6392
Dmoj	103	6276
Dmoj	104	6044
Dmoj	105	6554
Dmoj	106	6400
Dmoj	107	6026
Dmoj	108	6233
Dmoj	109	5689
Dmoj	110	6304
Dper	1	6140
Dper	2	5233
Dper	3	5960
Dper	4	5905
Dper	5	5587
Dper	6	5588
Dper	7	5440
Dper	8	5655
Dper	9	5580
Dper	10	5150
Dper	11	6125
Dper	12	5953
Dper	13	6043
Dper	14	5385
Dper	15	5466
Dper	16	6015
Dper	17	5594
Dper	18	5723
Dper	19	5479
Dper	20	5792
Dper	21	5623
Dper	22	5760
Dper	23	5592
Dper	24	5451
Dper	25	5561
Dper	26	5240
Dper	27	5847
Dper	28	5521
Dper	29	5627
Dper	30	4940
Dper	31	5981
Dper	32	6021
Dper	33	5425
Dper	34	5289
Dper	35	5580
Dper	36	5188
Dper	37	5671
Dper	38	6750
Dper	39	6276
Dper	40	6257
Dper	41	5493
Dper	42	5568
Dper	43	5265
Dper	44	5510
Dper	45	6170
Dper	46	6173
Dper	47	5815
Dper	48	6681
Dper	49	5898
Dper	50	5769
Dper	51	5469
Dper	52	5820
Dper	53	5773
Dper	54	5892
Dper	55	5070
Dper	56	5311
Dper	57	5438
Dper	58	4813
Dper	59	6202
Dper	60	5841
Dper	61	5848
Dper	62	5913
Dper	63	5480
Dper	64	5757
Dper	65	5879
Dper	66	6015
Dper	67	5497
Dper	68	5808
Dper	69	6093
Dper	70	6094
Dper	71	5794
Dper	72	4677
Dper	73	6195
Dper	74	5316
Dper	75	6059
Dper	76	6179
Dper	77	5343
Dper	78	5358
Dper	79	5771
Dper	80	5583
Dper	81	5762
Dper	82	5534
Dper	83	6176
Dper	84	5078
Dper	85	5669
Dper	86	5851
Dper	87	5649
Dper	88	5429
Dper	89	5550
Dper	90	5716
Dper	91	5935
Dper	92	6164
Dper	93	5127
Dper	94	5599
Dper	95	5890
Dper	96	6179
Dper	97	5592
Dper	98	5179
Dper	99	5492
Dper	100	5484
Dper	101	4531
Dper	102	5730
Dper	103	5378
Dper	104	5635
Dper	105	5438
Dper	106	5770
Dper	107	6123
Dper	108	6182
Dper	109	5844
Dper	110	5203
Dper	111	5227
Dper	112	5796
Dper	113	5474
Dpse	1	5807
Dpse	2	5947
Dpse	3	5555
Dpse	4	5709
Dpse	5	5703
Dpse	6	5722
Dpse	7	5677
Dpse	8	5705
Dpse	9	5624
Dpse	10	5532
Dpse	11	5538
Dpse	12	5980
Dpse	13	5589
Dpse	14	5622
Dpse	15	5951
Dpse	16	5947
Dpse	17	5609
Dpse	18	6192
Dpse	19	5728
Dpse	20	5869
Dpse	21	6043
Dpse	22	6149
Dpse	23	5951
Dpse	24	5905
Dpse	25	5840
Dpse	26	5968
Dpse	27	5867
Dpse	28	5924
Dpse	29	5834
Dpse	30	5873
Dpse	31	5978
Dpse	32	5999
Dpse	33	5915
Dpse	34	6142
Dpse	35	5862
Dpse	36	5984
Dpse	37	6230
Dpse	38	5837
Dpse	39	5869
Dpse	40	5974
Dpse	41	5705
Dpse	42	5957
Dpse	43	6004
Dpse	44	6030
Dpse	45	5873
Dpse	46	5930
Dpse	47	6101
Dpse	48	6058
Dpse	49	5800
Dpse	50	5700
Dpse	51	5625
Dpse	52	5533
Dpse	53	5529
Dpse	54	5266
Dpse	55	5487
Dpse	56	6024
Dpse	57	5910
Dpse	58	5752
Dpse	59	5789
Dpse	60	5961
Dpse	61	5945
Dpse	62	5859
Dpse	63	5589
Dpse	64	5775
Dpse	65	5655
Dpse	66	5884
Dpse	67	5599
Dpse	68	5998
Dpse	69	5422
Dpse	70	5968
Dpse	71	5349
Dpse	72	5963
Dpse	73	5717
Dpse	74	5649
Dpse	75	5565
Dpse	76	5927
Dpse	77	5711
Dpse	78	5872
Dpse	79	5673
Dpse	80	5921
Dpse	81	5979
Dpse	82	5970
Dpse	83	6168
Dpse	84	5718
Dpse	85	5968
Dpse	86	5920
Dpse	87	6015
Dpse	88	5879
Dpse	89	5902
Dpse	90	5827
Dpse	91	6154
Dpse	92	5633
Dpse	93	5912
Dpse	94	5841
Dpse	95	6038
Dpse	96	5989
Dpse	97	5801
Dpse	98	5549
Dpse	99	5857
Dpse	100	6005
Dpse	101	5772
Dpse	102	5906
Dpse	103	5917
Dpse	104	5822
Dpse	105	6236
Dpse	106	5404
Dpse	107	5801
Dpse	108	5921
Dpse	109	5277
Dpse	110	5343
Dpse	111	5408
Dpse	112	5710
Dpse	113	5761
Dpse	114	5380
Dpse	115	5390
Dpse	116	5393
Dpse	117	5800
Dpse	118	5827
Dsan	1	7049
Dsan	2	7992
Dsan	3	7581
Dsan	4	7285
Dsan	5	7706
Dsan	6	7824
Dsan	7	7282
Dsan	8	7074
Dsan	9	7509
Dsan	10	7709
Dsan	11	7772
Dsan	12	7471
Dsan	13	7185
Dsan	14	8063
Dsan	15	7746
Dsan	16	7723
Dsan	17	7282
Dsan	18	7327
Dsan	19	7376
Dsan	20	7719
Dsan	21	7683
Dsan	22	7593
Dsan	23	7770
Dsan	24	8618
Dsan	25	7544
Dsan	26	7590
Dsan	27	7769
Dsan	28	7800
Dsan	29	7959
Dsan	30	8345
Dsan	31	8567
Dsan	32	8797
Dsan	33	7817
Dsan	34	8164
Dsan	35	8347
Dsan	36	8121
Dsan	37	8042
Dsan	38	7903
Dsan	39	7633
Dsan	40	7698
Dsan	41	7313
Dsan	42	8467
Dsan	43	7481
Dsan	44	7347
Dsan	45	7672
Dsan	46	8388
Dsan	47	7924
Dsan	48	8156
Dsan	49	8227
Dsan	50	8600
Dsan	51	8044
Dsan	52	8553
Dsan	53	8265
Dsan	54	8400
Dsan	55	8157
Dsan	56	7105
Dsan	57	7757
Dsan	58	8487
Dsan	59	8105
Dsan	60	8071
Dsan	61	8786
Dsan	62	7603
Dsan	63	8103
Dsan	64	8537
Dsan	65	8415
Dsan	66	8001
Dsan	67	8086
Dsan	68	7975
Dsan	69	8337
Dsan	70	8359
Dsan	71	7555
Dsan	72	8675
Dsan	73	7474
Dsan	74	7288
Dsan	75	7939
Dsan	76	7279
Dsan	77	7541
Dsan	78	7397
Dsan	79	8191
Dsan	80	7972
Dsan	81	7447
Dsan	82	7063
Dsan	83	7630
Dsan	84	7227
Dsan	85	7944
Dsan	86	7858
Dsan	87	7558
Dsan	88	7186
Dsan	89	8365
Dsan	90	8027
Dsan	91	7347
Dsan	92	8382
Dsan	93	8010
Dsan	94	8092
Dsan	95	7878
Dsan	96	8034
Dsan	97	7453
Dsan	98	8117
Dsan	99	7483
Dsan	100	7441
Dsan	101	7421
Dsan	102	7307
Dsan	103	7265
Dsan	104	7832
Dsan	105	7623
Dsan	106	7653
Dsan	107	8232
Dsan	108	6956
Dsan	109	7524
Dsan	110	7618
Dsan	111	8304
Dsan	112	8261
Dsan	113	7992
Dsan	114	7527
Dsan	115	7744
Dsan	116	7430
Dsan	117	8174
Dsan	118	7352
Dsan	119	7720
Dsan	120	7883
Dsan	121	7926
Dsan	122	8142
Dsan	123	7439
Dsan	124	7484
Dsan	125	7584
Dsan	126	8428
Dsan	127	7662
Dsan	128	8060
Dsan	129	7954
Dsan	130	7372
Dsan	131	8203
Dsan	132	7406
Dsan	133	7657
Dsan	134	7728
Dsec	1	6654
Dsec	2	7297
Dsec	3	7498
Dsec	4	7531
Dsec	5	7421
Dsec	6	7694
Dsec	7	7355
Dsec	8	6696
Dsec	9	7503
Dsec	10	7545
Dsec	11	7698
Dsec	12	7682
Dsec	13	7754
Dsec	14	7553
Dsec	15	7484
Dsec	16	6927
Dsec	17	6511
Dsec	18	7146
Dsec	19	7136
Dsec	20	7157
Dsec	21	7604
Dsec	22	7442
Dsec	23	7051
Dsec	24	7158
Dsec	25	7011
Dsec	26	7146
Dsec	27	6818
Dsec	28	6995
Dsec	29	7518
Dsec	30	7584
Dsec	31	7190
Dsec	32	7276
Dsec	33	6905
Dsec	34	7345
Dsec	35	7542
Dsec	36	7594
Dsec	37	7814
Dsec	38	7211
Dsec	39	8027
Dsec	40	7521
Dsec	41	6959
Dsec	42	7486
Dsec	43	7556
Dsec	44	6410
Dsec	45	7319
Dsec	46	7157
Dsec	47	7736
Dsec	48	7622
Dsec	49	6967
Dsec	50	7615
Dsec	51	7396
Dsec	52	7442
Dsec	53	6941
Dsec	54	7178
Dsec	55	7486
Dsec	56	7445
Dsec	57	7676
Dsec	58	6931
Dsec	59	7162
Dsec	60	7249
Dsec	61	7426
Dsec	62	6991
Dsec	63	7902
Dsec	64	7240
Dsec	65	7448
Dsec	66	7192
Dsec	67	7786
Dsec	68	7771
Dsec	69	7295
Dsec	70	7126
Dsec	71	6333
Dsec	72	7666
Dsec	73	7586
Dsec	74	6738
Dsec	75	7545
Dsec	76	7318
Dsec	77	7688
Dsec	78	7430
Dsec	79	7555
Dsec	80	7730
Dsec	81	7645
Dsec	82	7517
Dsec	83	7688
Dsec	84	7721
Dsec	85	7679
Dsec	86	6667
Dsec	87	6773
Dsec	88	7350
Dsec	89	7178
Dsec	90	7077
Dsec	91	7178
Dsec	92	7532
Dsec	93	7750
Dsec	94	7575
Dsec	95	7065
Dsec	96	6503
Dsec	97	7384
Dsec	98	6932
Dsec	99	7718
Dsec	100	6905
Dsec	101	7111
Dsec	102	6885
Dsec	103	7431
Dsec	104	6974
Dsec	105	7096
Dsec	106	7577
Dsec	107	7695
Dsec	108	7265
Dsec	109	7402
Dsec	110	7161
Dsec	111	7138
Dsec	112	6712
Dsec	113	6681
Dsec	114	7591
Dsec	115	6800
Dsec	116	7415
Dsec	117	7256
Dsec	118	7948
Dsec	119	7476
Dsec	120	7282
Dsim	1	5979
Dsim	2	6214
Dsim	3	6110
Dsim	4	5881
Dsim	5	6177
Dsim	6	6088
Dsim	7	5961
Dsim	8	5987
Dsim	9	6146
Dsim	10	5941
Dsim	11	6071
Dsim	12	5980
Dsim	13	5892
Dsim	14	6170
Dsim	15	5951
Dsim	16	6029
Dsim	17	5716
Dsim	18	6016
Dsim	19	6243
Dsim	20	6061
Dsim	21	6030
Dsim	22	5998
Dsim	23	6201
Dsim	24	5776
Dsim	25	6414
Dsim	26	6164
Dsim	27	6383
Dsim	28	6540
Dsim	29	6616
Dsim	30	6335
Dsim	31	6036
Dsim	32	6269
Dsim	33	6053
Dsim	34	6521
Dsim	35	5844
Dsim	36	6377
Dsim	37	5884
Dsim	38	6297
Dsim	39	6629
Dsim	40	6013
Dsim	41	6520
Dsim	42	6355
Dsim	43	6583
Dsim	44	6623
Dsim	45	6659
Dsim	46	6486
Dsim	47	6607
Dsim	48	6540
Dsim	49	5835
Dsim	50	6281
Dsim	51	6348
Dsim	52	6374
Dsim	53	6344
Dsim	54	6650
Dsim	55	6368
Dsim	56	6305
Dsim	57	6421
Dsim	58	6750
Dsim	59	6200
Dsim	60	6380
Dsim	61	6614
Dsim	62	6214
Dsim	63	6692
Dsim	64	6231
Dsim	65	6720
Dsim	66	6556
Dsim	67	6598
Dsim	68	6157
Dsim	69	6266
Dsim	70	6820
Dsim	71	6276
Dsim	72	6542
Dsim	73	6533
Dsim	74	6583
Dsim	75	6662
Dsim	76	6492
Dsim	77	6063
Dsim	78	6342
Dsim	79	5989
Dsim	80	6409
Dsim	81	6168
Dsim	82	6197
Dsim	83	6402
Dsim	84	6121
Dsim	85	6584
Dsim	86	6434
Dsim	87	6262
Dsim	88	6180
Dsim	89	6375
Dsim	90	6453
Dsim	91	6500
Dsim	92	6648
Dsim	93	6225
Dsim	94	6026
Dsim	95	6111
Dsim	96	6476
Dsim	97	6442
Dsim	98	6538
Dsim	99	6266
Dsim	100	6398
Dsim	101	6437
Dsim	102	6277
Dsim	103	6383
Dsim	104	6742
Dsim	105	6795
Dsim	106	7085
Dsim	107	6936
Dsim	108	6809
Dsim	109	6492
Dsim	110	6365
Dsim	111	6347
Dsim	112	6256
Dsim	113	6329
Dsim	114	6512
Dsim	115	6925
Dsim	116	6203
Dsim	117	7009
Dsim	118	6908
Dsim	119	6772
Dsim	120	6715
Dsim	121	6790
Dsim	122	6786
Dsim	123	6557
Dsim	124	6334
Dsim	125	6966
Dsim	126	6645
Dsim	127	6572
Dsim	128	6817
Dsim	129	6748
Dvir	1	6738
Dvir	2	6952
Dvir	3	6552
Dvir	4	6728
Dvir	5	6319
Dvir	6	6803
Dvir	7	6993
Dvir	8	6993
Dvir	9	6791
Dvir	10	6635
Dvir	11	6843
Dvir	12	6994
Dvir	13	7031
Dvir	14	7249
Dvir	15	7353
Dvir	16	7032
Dvir	17	7015
Dvir	18	7657
Dvir	19	7319
Dvir	20	6868
Dvir	21	7085
Dvir	22	6686
Dvir	23	7220
Dvir	24	7320
Dvir	25	6791
Dvir	26	7481
Dvir	27	6995
Dvir	28	7309
Dvir	29	6547
Dvir	30	7078
Dvir	31	7095
Dvir	32	7514
Dvir	33	7384
Dvir	34	7132
Dvir	35	7139
Dvir	36	7236
Dvir	37	7256
Dvir	38	6711
Dvir	39	6971
Dvir	40	7231
Dvir	41	7411
Dvir	42	7539
Dvir	43	6786
Dvir	44	7156
Dvir	45	7215
Dvir	46	7316
Dvir	47	7516
Dvir	48	7683
Dvir	49	7002
Dvir	50	6859
Dvir	51	6683
Dvir	52	7411
Dvir	53	7053
Dvir	54	7378
Dvir	55	7158
Dvir	56	7321
Dvir	57	6938
Dvir	58	7134
Dvir	59	7396
Dvir	60	7336
Dvir	61	7032
Dvir	62	6941
Dvir	63	7380
Dvir	64	6927
Dvir	65	6983
Dvir	66	7019
Dvir	67	6937
Dvir	68	7217
Dvir	69	7162
Dvir	70	7290
Dvir	71	7223
Dvir	72	7336
Dvir	73	7112
Dvir	74	7457
Dvir	75	7175
Dvir	76	7100
Dvir	77	7303
Dvir	78	7053
Dvir	79	7370
Dvir	80	7289
Dvir	81	7213
Dvir	82	6526
Dvir	83	7123
Dvir	84	6786
Dvir	85	7108
Dvir	86	7400
Dvir	87	6733
Dvir	88	6787
Dvir	89	6849
Dvir	90	6891
Dvir	91	6633
Dvir	92	7289
Dvir	93	6966
Dvir	94	7133
Dvir	95	7074
Dvir	96	7171
Dvir	97	7497
Dvir	98	6836
Dvir	99	7462
Dvir	100	7220
Dvir	101	7230
Dvir	102	7314
Dvir	103	7258
Dvir	104	6916
Dvir	105	6757
Dvir	106	6448
Dvir	107	6778
Dvir	108	6420
Dvir	109	7009
Dvir	110	7309
Dvir	111	7426
Dvir	112	6920
Dvir	113	7506
Dwil	1	6241
Dwil	2	6428
Dwil	3	5858
Dwil	4	5874
Dwil	5	6487
Dwil	6	6552
Dwil	7	6903
Dwil	8	6897
Dwil	9	6442
Dwil	10	6675
Dwil	11	6351
Dwil	12	6807
Dwil	13	6771
Dwil	14	6748
Dwil	15	6439
Dwil	16	6565
Dwil	17	6447
Dwil	18	6575
Dwil	19	6620
Dwil	20	6372
Dwil	21	6820
Dwil	22	6304
Dwil	23	6463
Dwil	24	6389
Dwil	25	5959
Dwil	26	6652
Dwil	27	6485
Dwil	28	6085
Dwil	29	6797
Dwil	30	6535
Dwil	31	6359
Dwil	32	6436
Dwil	33	6619
Dwil	34	6925
Dwil	35	6586
Dwil	36	6503
Dwil	37	6444
Dwil	38	6476
Dwil	39	6366
Dwil	40	6175
Dwil	41	6343
Dwil	42	6369
Dwil	43	6448
Dwil	44	6580
Dwil	45	6421
Dwil	46	6359
Dwil	47	6437
Dwil	48	6831
Dwil	49	7180
Dwil	50	6831
Dwil	51	6609
Dwil	52	6476
Dwil	53	6541
Dwil	54	6314
Dwil	55	6553
Dwil	56	6671
Dwil	57	6478
Dwil	58	6258
Dwil	59	6393
Dwil	60	6585
Dwil	61	6724
Dwil	62	6362
Dwil	63	6361
Dwil	64	6428
Dwil	65	6020
Dwil	66	6432
Dwil	67	6205
Dwil	68	6770
Dwil	69	6572
Dwil	70	6376
Dwil	71	6125
Dwil	72	6439
Dwil	73	6376
Dwil	74	6508
Dwil	75	6342
Dwil	76	6367
Dwil	77	6695
Dwil	78	6156
Dwil	79	6279
Dwil	80	6342
Dwil	81	6144
Dwil	82	6664
Dwil	83	6376
Dwil	84	6297
Dwil	85	6526
Dwil	86	6225
Dwil	87	6462
Dwil	88	6098
Dwil	89	6527
Dwil	90	6646
Dwil	91	6621
Dwil	92	6428
Dwil	93	6586
Dwil	94	7064
Dwil	95	6893
Dwil	96	6331
Dwil	97	6366
Dwil	98	6850
Dwil	99	6262
Dwil	100	6184
Dwil	101	6645
Dwil	102	6383
Dwil	103	6425
Dwil	104	6234
Dwil	105	5419
Dwil	106	6425
Dwil	107	5949
Dwil	108	6610
Dwil	109	6562
Dwil	110	6720
Dwil	111	6567
Dwil	112	6564
Dyak	1	6285
Dyak	2	6493
Dyak	3	7928
Dyak	4	6507
Dyak	5	6568
Dyak	6	6355
Dyak	7	6460
Dyak	8	6455
Dyak	9	6422
Dyak	10	6508
Dyak	11	6695
Dyak	12	6290
Dyak	13	6207
Dyak	14	6032
Dyak	15	6115
Dyak	16	6256
Dyak	17	6452
Dyak	18	6367
Dyak	19	6420
Dyak	20	6400
Dyak	21	6470
Dyak	22	6475
Dyak	23	6487
Dyak	24	6610
Dyak	25	6349
Dyak	26	6388
Dyak	27	6398
Dyak	28	6695
Dyak	29	6496
Dyak	30	6454
Dyak	31	6458
Dyak	32	6642
Dyak	33	6185
Dyak	34	6422
Dyak	35	6240
Dyak	36	6444
Dyak	37	6516
Dyak	38	6161
Dyak	39	5938
Dyak	40	6626
Dyak	41	6310
Dyak	42	6361
Dyak	43	6713
Dyak	44	6469
Dyak	45	6689
Dyak	46	6164
Dyak	47	6284
Dyak	48	6228
Dyak	49	6367
Dyak	50	6521
Dyak	51	6540
Dyak	52	6304
Dyak	53	6406
Dyak	54	6253
Dyak	55	6296
Dyak	56	6500
Dyak	57	6290
Dyak	58	6069
Dyak	59	6108
Dyak	60	6214
Dyak	61	6312
Dyak	62	6511
Dyak	63	6414
Dyak	64	6355
Dyak	65	6246
Dyak	66	6482
Dyak	67	6428
Dyak	68	6304
Dyak	69	6323
Dyak	70	6552
Dyak	71	6395
Dyak	72	6313
Dyak	73	6307
Dyak	74	6401
Dyak	75	6369
Dyak	76	6436
Dyak	77	6172
Dyak	78	6356
Dyak	79	6522
Dyak	80	6443
Dyak	81	6482
Dyak	82	5977
Dyak	83	6269
Dyak	84	5841
Dyak	85	6297
Dyak	86	6081
Dyak	87	6361
Dyak	88	6320
Dyak	89	6340
Dyak	90	6282
Dyak	91	6247
Dyak	92	6465
Dyak	93	6280
Dyak	94	6139
Dyak	95	6620
Dyak	96	6406
Dyak	97	6317
Dyak	98	6417
Dyak	99	6297
Dyak	100	6206
Dyak	101	6471
Dyak	102	6300
Dyak	103	6247
Dyak	104	6438
Dyak	105	6164
Dyak	106	6164
Dyak	107	6104
Dyak	108	6311
Dyak	109	6589
Dyak	110	6435
Dyak	111	6516
Dyak	112	6533
Dyak	113	6331
Dyak	114	6765
Dyak	115	6294
Dyak	116	6524
Dyak	117	6255
Dyak	118	6485
Dyak	119	6213
Dyak	120	6447
Dyak	121	6349
Dyak	122	6325
Dyak	123	6122
Dyak	124	6285
Dyak	125	6222
Dyak	126	6440
Dyak	127	6319
Dyak	128	6328
Dyak	129	6179
Dyak	130	6427
Dyak	131	6368
Dyak	132	6289
Dyak	133	6368
Dyak	134	6426
Dyak	135	6319
Dyak	136	6438
Dyak	137	6253
Dyak	138	5969
Dyak	139	6387
Dyak	140	6114
Dyak	141	6232
