species	larva	segment	anterior	posterior	denticle.width
Dana	30	A8	83	85.29	2.29
Dana	31	A1	31.16	32.22	1.06
Dana	31	A2	37.55	40.31	2.76
Dana	31	A3	44.9	48.11	3.21
Dana	31	A4	52.57	55.95	3.38
Dana	31	A5	60.17	63.51	3.34
Dana	31	A6	68.02	71.04	3.02
Dana	31	A7	75.92	78.44	2.52
Dana	31	A8	83.25	86.15	2.9
Dana	32	A1	30.99	32.66	1.67
Dana	32	A2	38.2	41.34	3.14
Dana	32	A3	46.35	49.49	3.14
Dana	32	A4	54.01	57.24	3.23
Dana	32	A5	61.71	64.67	2.96
Dana	32	A6	69.04	72.26	3.22
Dana	32	A7	76.64	79.74	3.1
Dana	32	A8	83.88	86.8	2.92
Dana	33	A1	31.46	32.73	1.27
Dana	33	A2	37.84	40.65	2.81
Dana	33	A3	45.34	48.17	2.83
Dana	33	A4	52.81	55.39	2.58
Dana	33	A5	59.86	62.65	2.79
Dana	33	A6	67.24	70.52	3.28
Dana	33	A7	75.03	77.8	2.77
Dana	33	A8	82.44	85.47	3.03
Dana	34	A1	31.38	32.77	1.39
Dana	34	A2	38.15	41.09	2.94
Dana	34	A3	45.65	48.63	2.98
Dana	34	A4	53.11	56.16	3.05
Dana	34	A5	60.29	63.52	3.23
Dana	34	A6	68.2	71.17	2.97
Dana	34	A7	75.54	78.96	3.42
Dana	34	A8	83.38	86.41	3.03
Dana	35	A1	30.85	32.65	1.8
Dana	35	A2	37.79	41.21	3.42
Dana	35	A3	45.87	49.4	3.53
Dana	35	A4	53.97	57.31	3.34
Dana	35	A5	61.93	65.2	3.27
Dana	35	A6	69.56	72.83	3.27
Dana	35	A7	77.05	80.62	3.57
Dana	35	A8	84.86	87.94	3.08
Dana	36	A1	30.69	32.14	1.45
Dana	36	A2	37.58	41.18	3.6
Dana	36	A3	46.09	49.71	3.62
Dana	36	A4	54.16	57.57	3.41
Dana	36	A5	61.78	65.25	3.47
Dana	36	A6	69.31	72.73	3.42
Dana	36	A7	76.62	80.13	3.51
Dana	36	A8	83.86	86.18	2.32
Dana	37	A1	31.01	32.58	1.57
Dana	37	A2	38.19	41.33	3.14
Dana	37	A3	46.16	49.45	3.29
Dana	37	A4	53.59	56.95	3.36
Dana	37	A5	61.09	64.48	3.39
Dana	37	A6	68.93	72.29	3.36
Dana	37	A7	76.41	80.02	3.61
Dana	37	A8	84.16	87.58	3.42
Dana	38	A1	31.58	33.31	1.73
Dana	38	A2	39.21	41.89	2.68
Dana	38	A3	47.04	50.2	3.16
Dana	38	A4	54.64	57.81	3.17
Dana	38	A5	62.16	65.21	3.05
Dana	38	A6	69.6	72.78	3.18
Dana	38	A7	77.03	80.13	3.1
Dana	38	A8	84.49	87.56	3.07
Dana	39	A1	30.95	32.56	1.61
Dana	39	A2	37.95	41.14	3.19
Dana	39	A3	46.11	48.62	2.51
Dana	39	A4	52.95	55.68	2.73
Dana	39	A5	60.35	63	2.65
Dana	39	A6	67.42	70.44	3.02
Dana	39	A7	75.44	77.91	2.47
Dana	39	A8	82.58	84.68	2.1
Dana	40	A1	32.56	33.93	1.37
Dana	40	A2	39.08	42.5	3.42
Dana	40	A3	47.15	50.53	3.38
Dana	40	A4	54.83	58.22	3.39
Dana	40	A5	62.34	65.74	3.4
Dana	40	A6	69.94	73.27	3.33
Dana	40	A7	77.46	80.96	3.5
Dana	40	A8	85.04	87.89	2.85
Dana	41	A1	31.89	33.23	1.34
Dana	41	A2	38.37	41.61	3.24
Dana	41	A3	46.41	49.61	3.2
Dana	41	A4	53.94	57.18	3.24
Dana	41	A5	61.41	64.62	3.21
Dana	41	A6	68.75	71.89	3.14
Dana	41	A7	76.28	79.56	3.28
Dana	41	A8	84.04	86.96	2.92
Dana	42	A1	31.27	32.97	1.7
Dana	42	A2	38.13	41.72	3.59
Dana	42	A3	46.18	49.79	3.61
Dana	42	A4	53.93	57.64	3.71
Dana	42	A5	61.85	65.37	3.52
Dana	42	A6	69.96	73.27	3.31
Dana	42	A7	77.42	80.67	3.25
Dana	42	A8	84.48	86.36	1.88
Dana	43	A1	31.57	33.09	1.52
Dana	43	A2	38.47	41.49	3.02
Dana	43	A3	46.13	49.19	3.06
Dana	43	A4	53.83	56.93	3.1
Dana	43	A5	61.33	64.6	3.27
Dana	43	A6	69.31	71.92	2.61
Dana	43	A7	76.53	79.87	3.34
Dana	43	A8	84.24	86.67	2.43
Dana	44	A1	31.95	33.34	1.39
Dana	44	A2	38.83	42.15	3.32
Dana	44	A3	46.67	49.76	3.09
Dana	44	A4	53.33	55.32	1.99
Dana	44	A5	59.49	62.76	3.27
Dana	44	A6	67.31	70.91	3.6
Dana	44	A7	75.52	78.93	3.41
Dana	44	A8	83.18	85.93	2.75
Dana	45	A1	31.36	33.04	1.68
Dana	45	A2	38.09	41.39	3.3
Dana	45	A3	46.05	49.25	3.2
Dana	45	A4	53.4	56.69	3.29
Dana	45	A5	60.8	64.23	3.43
Dana	45	A6	68.45	71.94	3.49
Dana	45	A7	76.18	79.75	3.57
Dana	45	A8	84.06	87.04	2.98
Dana	46	A1	31.81	33.35	1.54
Dana	46	A2	38.44	41.66	3.22
Dana	46	A3	46.29	49.27	2.98
Dana	46	A4	53.67	56.86	3.19
Dana	46	A5	61.11	64.29	3.18
Dana	46	A6	68.61	71.44	2.83
Dana	46	A7	75.88	79.1	3.22
Dana	46	A8	83.72	86.16	2.44
Dana	47	A1	31.96	33.69	1.73
Dana	47	A2	38.89	42.28	3.39
Dana	47	A3	46.99	50.25	3.26
Dana	47	A4	54.28	57.47	3.19
Dana	47	A5	61.59	64.78	3.19
Dana	47	A6	68.88	72.12	3.24
Dana	47	A7	76.41	79.74	3.33
Dana	47	A8	83.76	87.05	3.29
Dana	48	A1	32.79	34.3	1.51
Dana	48	A2	40.01	43.33	3.32
Dana	48	A3	48.02	51.38	3.36
Dana	48	A4	55.69	59.21	3.52
Dana	48	A5	63.3	66.72	3.42
Dana	48	A6	70.67	73.75	3.08
Dana	48	A7	77.45	80.88	3.43
Dana	48	A8	84.82	87.68	2.86
Dana	49	A1	30.83	32.5	1.67
Dana	49	A2	37.77	41.08	3.31
Dana	49	A3	45.67	49.03	3.36
Dana	49	A4	53.3	56.5	3.2
Dana	49	A5	60.65	64.03	3.38
Dana	49	A6	68.45	71.54	3.09
Dana	49	A7	75.8	79.04	3.24
Dana	49	A8	82.99	85.6	2.61
Dana	50	A1	31.5	32.77	1.27
Dana	50	A2	37.9	40.68	2.78
Dana	50	A3	45.4	48.22	2.82
Dana	50	A4	52.96	55.46	2.5
Dana	50	A5	59.9	62.74	2.84
Dana	50	A6	67.36	70.52	3.16
Dana	50	A7	75.19	77.98	2.79
Dana	50	A8	82.59	85.65	3.06
Dana	51	A1	32.51	34.06	1.55
Dana	51	A2	37.66	40.93	3.27
Dana	51	A3	45.79	49.33	3.54
Dana	51	A4	53.83	57.1	3.27
Dana	51	A5	61.41	64.65	3.24
Dana	51	A6	69.02	72.29	3.27
Dana	51	A7	76.46	79.86	3.4
Dana	51	A8	83.99	87.14	3.15
Dana	52	A1	31.96	33.54	1.58
Dana	52	A2	38.37	41.56	3.19
Dana	52	A3	45.9	49.39	3.49
Dana	52	A4	53.38	56.75	3.37
Dana	52	A5	60.68	64.27	3.59
Dana	52	A6	68.23	71.56	3.33
Dana	52	A7	75.88	79.46	3.58
Dana	52	A8	83.67	85.71	2.04
Dana	53	A1	31.65	33.21	1.56
Dana	53	A2	39.02	42.57	3.55
Dana	53	A3	47.3	50.82	3.52
Dana	53	A4	55.26	58.74	3.48
Dana	53	A5	62.63	66.32	3.69
Dana	53	A6	70.31	73.81	3.5
Dana	53	A7	77.79	81.43	3.64
Dana	53	A8	85.13	88.23	3.1
Dana	54	A1	30.66	31.99	1.33
Dana	54	A2	37.18	40.18	3
Dana	54	A3	44.88	47.99	3.11
Dana	54	A4	52.47	55.35	2.88
Dana	54	A5	59.8	63.03	3.23
Dana	54	A6	67.55	70.56	3.01
Dana	54	A7	75.28	78.52	3.24
Dana	54	A8	82.99	85.98	2.99
Dana	55	A1	30.22	31.66	1.44
Dana	55	A2	37.43	40.7	3.27
Dana	55	A3	45.43	48.98	3.55
Dana	55	A4	53.47	57	3.53
Dana	55	A5	61.11	64.69	3.58
Dana	55	A6	69.07	72.5	3.43
Dana	55	A7	76.69	80.08	3.39
Dana	55	A8	84.23	86.65	2.42
Dana	56	A1	29.88	31.39	1.51
Dana	56	A2	36.96	40.02	3.06
Dana	56	A3	44.86	48.04	3.18
Dana	56	A4	52.49	55.56	3.07
Dana	56	A5	59.67	62.95	3.28
Dana	56	A6	67.33	70.57	3.24
Dana	56	A7	75.18	78.59	3.41
Dana	56	A8	83.19	86.02	2.83
Dana	57	A1	30.65	32.04	1.39
Dana	57	A2	37.28	40.6	3.32
Dana	57	A3	45.08	48.44	3.36
Dana	57	A4	52.51	55.94	3.43
Dana	57	A5	60.11	63.45	3.34
Dana	57	A6	67.75	71.18	3.43
Dana	57	A7	75.32	78.89	3.57
Dana	57	A8	83.07	86.53	3.46
Dana	58	A1	30.66	32.33	1.67
Dana	58	A2	37.21	40.89	3.68
Dana	58	A3	45.46	48.95	3.49
Dana	58	A4	53.38	57	3.62
Dana	58	A5	61.15	64.79	3.64
Dana	58	A6	68.81	72.25	3.44
Dana	58	A7	76.55	80.37	3.82
Dana	58	A8	84.25	87.53	3.28
Dana	59	A1	30.5	32.01	1.51
Dana	59	A2	37.42	40.29	2.87
Dana	59	A3	45.08	48.04	2.96
Dana	59	A4	52.52	55.32	2.8
Dana	59	A5	59.78	62.63	2.85
Dana	59	A6	67.09	70.09	3
Dana	59	A7	74.73	78.08	3.35
Dana	59	A8	82.7	85.85	3.15
Dana	60	A1	31.36	32.68	1.32
Dana	60	A2	37.93	41.6	3.67
Dana	60	A3	46.25	49.56	3.31
Dana	60	A4	54.14	57.59	3.45
Dana	60	A5	61.8	65.24	3.44
Dana	60	A6	69.56	72.93	3.37
Dana	60	A7	77.4	80.93	3.53
Dana	60	A8	84.99	88.25	3.26
Dana	61	A1	31.2	32.85	1.65
Dana	61	A2	37.9	41.38	3.48
Dana	61	A3	46.12	49.31	3.19
Dana	61	A4	53.76	57.19	3.43
Dana	61	A5	61.31	64.61	3.3
Dana	61	A6	69.03	72.37	3.34
Dana	61	A7	76.3	79.9	3.6
Dana	61	A8	83.64	86.82	3.18
Dana	62	A1	31.11	32.8	1.69
Dana	62	A2	38.16	41.69	3.53
Dana	62	A3	46.3	49.86	3.56
Dana	62	A4	54.41	57.74	3.33
Dana	62	A5	62.17	65.64	3.47
Dana	62	A6	69.78	73.2	3.42
Dana	62	A7	77.29	80.81	3.52
Dana	62	A8	85	88.32	3.32
Dana	63	A1	31.84	33.36	1.52
Dana	63	A2	39.18	41.83	2.65
Dana	63	A3	46.48	49.91	3.43
Dana	63	A4	54.48	57.72	3.24
Dana	63	A5	62.18	65.55	3.37
Dana	63	A6	70.13	73.56	3.43
Dana	63	A7	78.14	81.5	3.36
Dana	63	A8	85.56	87.7	2.14
Dana	64	A1	31.45	32.99	1.54
Dana	64	A2	37.63	40.96	3.33
Dana	64	A3	45.71	48.97	3.26
Dana	64	A4	53.56	56.8	3.24
Dana	64	A5	61.18	64.38	3.2
Dana	64	A6	68.54	71.74	3.2
Dana	64	A7	75.91	79.16	3.25
Dana	64	A8	83.29	85.91	2.62
Dana	65	A1	31.05	32.77	1.72
Dana	65	A2	37.49	40.6	3.11
Dana	65	A3	44.9	48.16	3.26
Dana	65	A4	52.72	55.93	3.21
Dana	65	A5	60.21	63.74	3.53
Dana	65	A6	68.12	71.78	3.66
Dana	65	A7	76.1	79.25	3.15
Dana	65	A8	83.7	86.98	3.28
Dana	66	A1	31.09	32.92	1.83
Dana	66	A2	37.72	41.23	3.51
Dana	66	A3	46.11	49.6	3.49
Dana	66	A4	53.97	57.37	3.4
Dana	66	A5	61.37	64.91	3.54
Dana	66	A6	69.17	72.59	3.42
Dana	66	A7	76.84	80.08	3.24
Dana	66	A8	84.09	86.63	2.54
Dana	67	A1	32.86	34.56	1.7
Dana	67	A2	39.32	42.75	3.43
Dana	67	A3	47.01	50.31	3.3
Dana	67	A4	54.77	58.12	3.35
Dana	67	A5	62.34	65.61	3.27
Dana	67	A6	69.83	73.14	3.31
Dana	67	A7	77.24	80.48	3.24
Dana	67	A8	84.14	86.94	2.8
Dana	68	A1	31.05	32.69	1.64
Dana	68	A2	37.55	41.03	3.48
Dana	68	A3	45.7	49.14	3.44
Dana	68	A4	53.46	56.91	3.45
Dana	68	A5	61	64.41	3.41
Dana	68	A6	68.81	72.38	3.57
Dana	68	A7	76.25	79.69	3.44
Dana	68	A8	83.45	86.32	2.87
Dana	69	A1	31.84	33.67	1.83
Dana	69	A2	38.63	42.05	3.42
Dana	69	A3	46.92	50.35	3.43
Dana	69	A4	54.77	58.29	3.52
Dana	69	A5	62.48	65.91	3.43
Dana	69	A6	70.03	73.34	3.31
Dana	69	A7	77.45	80.94	3.49
Dana	69	A8	84.73	87.9	3.17
Dana	70	A1	32.23	34.01	1.78
Dana	70	A2	38.83	42.14	3.31
Dana	70	A3	46.9	50.11	3.21
Dana	70	A4	54.24	57.46	3.22
Dana	70	A5	61.67	64.84	3.17
Dana	70	A6	68.85	71.9	3.05
Dana	70	A7	76.01	79.23	3.22
Dana	70	A8	83.43	85.49	2.06
Dana	71	A1	32.04	33.5	1.46
Dana	71	A2	38.82	42.06	3.24
Dana	71	A3	46.73	49.94	3.21
Dana	71	A4	54.38	57.45	3.07
Dana	71	A5	62.01	64.97	2.96
Dana	71	A6	69.37	72.26	2.89
Dana	71	A7	76.31	79.25	2.94
Dana	71	A8	83.53	85.82	2.29
Dana	72	A1	31.39	32.8	1.41
Dana	72	A2	37.73	40.99	3.26
Dana	72	A3	45.34	48.85	3.51
Dana	72	A4	53.04	56.37	3.33
Dana	72	A5	60.42	63.71	3.29
Dana	72	A6	67.99	71.13	3.14
Dana	72	A7	75.27	78.61	3.34
Dana	72	A8	82.73	85.75	3.02
Dana	73	A1	32.6	34.29	1.69
Dana	73	A2	39.15	42.5	3.35
Dana	73	A3	46.97	50.28	3.31
Dana	73	A4	54.07	57.06	2.99
Dana	73	A5	61.84	65.29	3.45
Dana	73	A6	69.5	72.92	3.42
Dana	73	A7	76.99	80.57	3.58
Dana	73	A8	84.84	87.92	3.08
Dana	74	A1	31.1	32.77	1.67
Dana	74	A2	37.96	41.34	3.38
Dana	74	A3	45.8	49.35	3.55
Dana	74	A4	53.65	57.19	3.54
Dana	74	A5	61.35	64.71	3.36
Dana	74	A6	69.19	72.44	3.25
Dana	74	A7	77.21	80.43	3.22
Dana	74	A8	84.01	86.85	2.84
Dana	75	A1	31.58	33.17	1.59
Dana	75	A2	38.54	41.77	3.23
Dana	75	A3	46.83	50.07	3.24
Dana	75	A4	54.57	57.8	3.23
Dana	75	A5	62.27	65.43	3.16
Dana	75	A6	69.91	72.85	2.94
Dana	75	A7	77.11	80.27	3.16
Dana	75	A8	84.42	87.42	3
Dana	76	A1	31.44	32.98	1.54
Dana	76	A2	37.99	41.1	3.11
Dana	76	A3	45.64	48.7	3.06
Dana	76	A4	53.06	55.86	2.8
Dana	76	A5	60.3	63.29	2.99
Dana	76	A6	68.21	71.23	3.02
Dana	76	A7	75.82	79.47	3.65
Dana	76	A8	84.18	87.78	3.6
Dana	77	A1	31.47	33.1	1.63
Dana	77	A2	38.13	40.92	2.79
Dana	77	A3	45.57	48.19	2.62
Dana	77	A4	53.03	55.66	2.63
Dana	77	A5	60.43	63.31	2.88
Dana	77	A6	68	70.97	2.97
Dana	77	A7	75.56	78.81	3.25
Dana	77	A8	83.59	87.14	3.55
Dana	78	A1	31.44	32.86	1.42
Dana	78	A2	37.97	41.07	3.1
Dana	78	A3	45.8	48.79	2.99
Dana	78	A4	53.21	56.07	2.86
Dana	78	A5	60.36	63.34	2.98
Dana	78	A6	67.95	70.81	2.86
Dana	78	A7	75.51	78.91	3.4
Dana	78	A8	83.53	86.88	3.35
Dana	79	A1	31.06	32.82	1.76
Dana	79	A2	37.73	40.74	3.01
Dana	79	A3	45.7	48.57	2.87
Dana	79	A4	52.84	55.38	2.54
Dana	79	A5	60.09	62.85	2.76
Dana	79	A6	67.61	70.63	3.02
Dana	79	A7	75.06	78.41	3.35
Dana	79	A8	82.92	85.81	2.89
Dana	80	A1	31.13	32.6	1.47
Dana	80	A2	37.94	40.97	3.03
Dana	80	A3	45.76	48.65	2.89
Dana	80	A4	53.49	56.02	2.53
Dana	80	A5	60.85	63.64	2.79
Dana	80	A6	68.28	71.18	2.9
Dana	80	A7	75.88	79.07	3.19
Dana	80	A8	84.05	87.38	3.33
Dana	81	A1	31.15	32.71	1.56
Dana	81	A2	37.83	40.9	3.07
Dana	81	A3	45.43	48.8	3.37
Dana	81	A4	53.05	56.2	3.15
Dana	81	A5	60.31	63.75	3.44
Dana	81	A6	68.47	71.58	3.11
Dana	81	A7	76.22	79.27	3.05
Dana	81	A8	83.21	86.24	3.03
Dana	82	A1	31.48	32.74	1.26
Dana	82	A2	37.9	41.33	3.43
Dana	82	A3	45.8	49.25	3.45
Dana	82	A4	53.59	56.84	3.25
Dana	82	A5	61.16	64.27	3.11
Dana	82	A6	68.63	71.54	2.91
Dana	82	A7	76.19	79.49	3.3
Dana	82	A8	83.99	87.4	3.41
Dana	83	A1	31.39	32.89	1.5
Dana	83	A2	37.83	41.03	3.2
Dana	83	A3	45.49	48.24	2.75
Dana	83	A4	52.79	55.45	2.66
Dana	83	A5	59.82	62.57	2.75
Dana	83	A6	67.48	69.91	2.43
Dana	83	A7	74.73	77.67	2.94
Dana	83	A8	82.44	85.56	3.12
Dana	84	A1	30.97	32.55	1.58
Dana	84	A2	37.64	40.74	3.1
Dana	84	A3	45.4	48.73	3.33
Dana	84	A4	53.45	56.47	3.02
Dana	84	A5	61.27	64.26	2.99
Dana	84	A6	68.96	72.02	3.06
Dana	84	A7	77.13	80.67	3.54
Dana	84	A8	85.55	89.31	3.76
Dana	85	A1	30.81	32.36	1.55
Dana	85	A2	37.27	40.31	3.04
Dana	85	A3	44.93	47.94	3.01
Dana	85	A4	52.31	55.37	3.06
Dana	85	A5	59.72	62.83	3.11
